,word,line_me
188,Ἀτρεΐδης,0.676295617065889
189,Ἀγαμέμνων,0.676295617065889
190,Ἀχιλλεύς,1.839973972831585
191,Θήβην,0.0624674144949427
192,Ἠετίωνος,0.0624674144949427
193,Ἀχαιῶν,0.4070582413052782
194,Ἀτρεΐδῃ,0.2669379473097004
195,Χρυσηΐδα,0.2669379473097004
196,Χρύσης,0.2485324318700431
197,Ἀπόλλωνος,0.2485324318700431
198,Ἀχαιῶν,2.5742910474468728
199,Ἀπόλλωνος,0.4707531579025725
200,Ἀχαιούς,0.1240345144826314
201,Ἀτρεΐδα,0.1728909644476338
202,Ἀχαιοί,0.3780287999924925
203,Ἀτρεΐδῃ,0.3083416622960951
204,Ἀγαμέμνονι,0.3083416622960951
205,Ἀπόλλων,0.056874131871264
206,Ἀργείοισι,0.0727038123209792
207,Ἀχαιῶν,0.1121740899539002
208,Ἀτρεΐωνα,0.0843546767074825
209,Ἀχαιοί,0.3285290165291855
210,Χρύσην,0.0529254483751422
211,Βρισῆος,0.0810495054585307
212,Ἀχαιῶν,0.0810495054585307
213,Οὔλυμπον,0.0693211624160015
214,Δία,0.0693211624160015
215,Διός,0.0591457331701703
216,Κρονίωνι,0.200739563722209
217,Ὀλύμπιοι,0.1208305826402326
218,Ἥρη,0.1665471615311679
219,Ποσειδάων,0.1665471615311679
220,Παλλάς,0.1665471615311679
221,Ἀθήνη,0.1665471615311679
222,Ὄλυμπον,0.4273531966627302
223,Βριάρεων,0.1320293093518373
224,Αἰγαίων,0.0416970762977765
225,Κρονίωνι,0.5071972514751587
226,Τρώεσσιν,0.1126070440919946
227,Ἀχαιούς,0.180866134180993
228,Ἀτρεΐδης,1.2146693958993466
229,Ἀγαμέμνων,1.2146693958993466
230,Ἀχαιῶν,0.1856879943624466
231,Θέτις,2.3113672711880118
232,Διί,0.1391657404225496
233,Ὄλυμπον,0.1530315593324677
234,Ἀχαιοῖσιν,0.0566668735324568
235,Ζεύς,0.0527881890062164
236,Ὠκεανόν,0.0527881890062164
237,Αἰθιοπῆας,0.0527881890062164
238,Οὔλυμπον,0.1090520134518171
239,Διός,0.1171007117689859
240,Ὀδυσσεύς,0.1243349976559182
241,Χρύσην,0.1978125760970807
242,Ἀπόλλωνι,0.48413557192732
243,Χρυσηΐς,0.0695132161302714
244,Ὀδυσσεύς,0.32799688013232
245,Χρύση,0.2755876569163202
246,Ἀγαμέμνων,0.2755876569163202
247,Φοίβῳ,0.1425825415047683
248,Δαναῶν,0.0441812768765281
249,Ἀργείοισι,0.0996426788386973
250,Χρύσης,0.1681882138847182
251,Χρύσην,0.3927942522955504
252,Κίλλαν,0.1076372359115489
253,Τενέδοιό,0.1076372359115489
254,Ἀχαιῶν,0.0980366658111809
255,Δαναοῖσιν,0.136633289363846
256,Φοῖβος,3.2190616808512877
257,Ἀπόλλων,3.2190616808512877
258,Ἀχαιῶν,0.5557739327043926
259,Ἠώς,7.774210245089883
260,Ἀχαιῶν,0.222736496144354
261,Ἀπόλλων,0.798198569450726
262,Ἀχαιῶν,1.033911345004144
