Column1,text,book,line,string,foot1,foot2,foot3,foot4,foot5,foot6,me
17891,odyssey,4,835,τὴν δ ἀπαμειβόμενον προσέφη εἴδωλον ἀμαυρόν,D,D,D,S,D,A,0.401698673
14264,iliad,23,284,χαῖται ἐρηρέδαται τὼ δ ἕστατον ἀχνυμένω κῆρ,D,D,S,D,D,A,0.40167057
19649,odyssey,8,575,ἠμὲν ὅσοι χαλεποί τε καὶ ἄγριοι οὐδὲ δίκαιοι,D,D,D,D,D,A,0.401618421
12291,iliad,19,364,ἀνδρῶν ἐν δὲ μέσοισι κορύσσετο δῖος Ἀχιλλεύς,S,D,D,D,D,A,0.401550983
25363,odyssey,19,427,δὴ τότε κοιμήσαντο καὶ ὕπνου δῶρον ἕλοντο,D,S,D,S,D,A,0.401521695
21906,odyssey,13,14,ἀνδρακάς ἡμεῖς δ αὖτε ἀγειρόμενοι κατὰ δῆμον,D,S,D,D,D,A,0.401454219
9964,iliad,16,281,ἐλπόμενοι παρὰ ναῦφι ποδώκεα Πηλεΐωνα,D,D,D,D,D,A,0.401447981
21946,odyssey,13,54,νώμησεν δ ἄρα πᾶσιν ἐπισταδόν οἱ δὲ θεοῖσιν,S,D,D,D,D,A,0.4014305
1611,iliad,3,124,Λαοδίκην Πριάμοιο θυγατρῶν εἶδος ἀρίστην,D,D,D,S,D,A,0.40141372
20289,odyssey,10,63,ἑζόμεθ οἱ δ ἀνὰ θυμὸν ἐθάμβεον ἔκ τ ἐρέοντο,D,D,D,D,D,A,0.401396047
12161,iliad,19,234,λαῶν ὀτρυντὺν ποτιδέγμενος ἰσχαναάσθω,S,S,D,D,D,A,0.401141992
21449,odyssey,12,10,οἰσέμεναι νεκρόν Ἐλπήνορα τεθνηῶτα,D,D,S,S,S,A,0.401141992
5219,iliad,9,246,φθίσθαι ἐνὶ Τροίῃ ἑκὰς Ἄργεος ἱπποβότοιο,D,S,D,D,D,A,0.401073285
23710,odyssey,16,288,οἷά ποτε Τροίηνδε κιὼν κατέλειπεν Ὀδυσσεύς,D,S,D,D,D,A,0.4010495
24944,odyssey,19,8,οἷά ποτε Τροίηνδε κιὼν κατέλειπεν Ὀδυσσεύς,D,S,D,D,D,A,0.4010495
14313,iliad,23,333,καὶ νῦν τέρματ ἔθηκε ποδάρκης δῖος Ἀχιλλεύς,S,D,D,S,D,A,0.4010076
24737,odyssey,18,229,ἐσθλά τε καὶ τὰ χέρεια πάρος δ ἔτι νήπιος ἦα,D,D,D,D,D,A,0.400987875
11071,iliad,17,521,κόψας ἐξόπιθεν κεράων βοὸς ἀγραύλοιο,S,D,D,D,S,A,0.400948669
19509,odyssey,8,435,αἱ δὲ λοετροχόον τρίποδ ἵστασαν ἐν πυρὶ κηλέῳ,D,D,D,D,D,A,0.400902457
6010,iliad,10,328,ὣς φάθ ὃ δ ἐν χερσὶ σκῆπτρον λάβε καί οἱ ὄμοσσεν,D,S,S,D,D,A,0.400797534
20694,odyssey,10,468,ἀλλ ὅτε δή ῥ ἐνιαυτὸς ἔην περὶ δ ἔτραπον ὧραι,D,D,D,D,D,A,0.400714967
14398,iliad,23,418,μᾶλλον ἐπιδραμέτην ὀλίγον χρόνον αἶψα δ ἔπειτα,D,D,D,D,D,A,0.400701201
12876,iliad,21,22,ὡς δ ὑπὸ δελφῖνος μεγακήτεος ἰχθύες ἄλλοι,D,S,D,D,D,A,0.400617778
1488,iliad,3,1,αὐτὰρ ἐπεὶ κόσμηθεν ἅμ ἡγεμόνεσσιν ἕκαστοι,D,S,D,D,D,A,0.400572178
6414,iliad,11,153,χαλκῷ δηϊόωντες ἀτὰρ κρείων Ἀγαμέμνων,S,D,D,S,D,A,0.400566584
4616,iliad,8,204,πολλά τε καὶ χαρίεντα σὺ δέ σφισι βούλεο νίκην,D,D,D,D,D,A,0.400440733
17391,odyssey,4,335,ὡς δ ὁπότ ἐν ξυλόχῳ ἔλαφος κρατεροῖο λέοντος,D,D,D,D,D,A,0.400390008
24028,odyssey,17,126,ὡς δ ὁπότ ἐν ξυλόχῳ ἔλαφος κρατεροῖο λέοντος,D,D,D,D,D,A,0.400390008
5620,iliad,9,647,πρίν γ υἱὸν Πριάμοιο δαΐφρονος Ἕκτορα δῖον,S,D,D,D,D,A,0.400339996
9371,iliad,15,434,ἑσταότ ἄγχ Αἴαντος ὃ δ ὕπτιος ἐν κονίῃσι,D,S,D,D,D,A,0.400314474
18618,odyssey,6,222,γυμνοῦσθαι κούρῃσιν ἐυπλοκάμοισι μετελθών,S,S,D,D,D,A,0.400312318
4452,iliad,8,40,πρόφρονι μυθέομαι ἐθέλω δέ τοι ἤπιος εἶναι,D,D,D,D,D,A,0.400213438
13649,iliad,22,184,πρόφρονι μυθέομαι ἐθέλω δέ τοι ἤπιος εἶναι,D,D,D,D,D,A,0.400213438
9761,iliad,16,78,Τρωσὶ κελεύοντος περιάγνυται οἳ δ ἀλαλητῷ,D,S,D,D,D,A,0.400191362
6304,iliad,11,43,εἵλετο δ ἄλκιμα δοῦρε δύω κεκορυθμένα χαλκῷ,D,D,D,D,D,A,0.400090551
26493,odyssey,22,125,εἵλετο δ ἄλκιμα δοῦρε δύω κεκορυθμένα χαλκῷ,D,D,D,D,D,A,0.400090551
14972,iliad,24,95,βῆ δ ἰέναι πρόσθεν δὲ ποδήνεμος ὠκέα Ἶρις,D,S,D,D,D,A,0.399973084
17613,odyssey,4,557,νύμφης ἐν μεγάροισι Καλυψοῦς ἥ μιν ἀνάγκῃ,S,D,D,S,D,A,0.399649151
17917,odyssey,5,14,νύμφης ἐν μεγάροισι Καλυψοῦς ἥ μιν ἀνάγκῃ,S,D,D,S,D,A,0.399649151
24045,odyssey,17,143,νύμφης ἐν μεγάροισι Καλυψοῦς ἥ μιν ἀνάγκῃ,S,D,D,S,D,A,0.399649151
4585,iliad,8,173,‘Τρῶες καὶ Λύκιοι καὶ Δάρδανοι ἀγχιμαχηταὶ,S,D,S,D,D,A,0.399628535
6547,iliad,11,286,‘Τρῶες καὶ Λύκιοι καὶ Δάρδανοι ἀγχιμαχηταὶ,S,D,S,D,D,A,0.399628535
9362,iliad,15,425,‘Τρῶες καὶ Λύκιοι καὶ Δάρδανοι ἀγχιμαχηταὶ,S,D,S,D,D,A,0.399628535
9423,iliad,15,486,‘Τρῶες καὶ Λύκιοι καὶ Δάρδανοι ἀγχιμαχηταὶ,S,D,S,D,D,A,0.399628535
11034,iliad,17,484,αὐτίκα δ Αἰνείαν προσεφώνεεν ἐγγὺς ἐόντα,D,S,D,D,D,A,0.399423874
12986,iliad,21,132,ζωοὺς δ ἐν δίνῃσι καθίετε μώνυχας ἵππους,S,S,D,D,D,A,0.399416555
13944,iliad,22,479,αὐτὰρ ἐγὼ Θήβῃσιν ὑπὸ Πλάκῳ ὑληέσσῃ,D,S,D,D,S,A,0.399375674
22016,odyssey,13,124,πρίν γ Ὀδυσῆ ἔγρεσθαι ἐπελθὼν δηλήσαιτο,D,S,D,S,S,A,0.399340784
1483,iliad,2,873,νήπιος οὐδέ τί οἱ τό γ ἐπήρκεσε λυγρὸν ὄλεθρον,D,D,D,D,D,A,0.399263038
12178,iliad,19,251,κάπρον ἔχων ἐν χερσὶ παρίστατο ποιμένι λαῶν,D,S,D,D,D,A,0.399028391
14549,iliad,23,569,Ἀργείους ὃ δ ἔπειτα μετηύδα ἰσόθεος φώς,S,D,D,S,D,A,0.398930852
24416,odyssey,17,514,οἷ ὅ γε μυθεῖται θέλγοιτό κέ τοι φίλον ἦτορ,D,S,S,D,D,A,0.398889649
10136,iliad,16,453,αὐτὰρ ἐπὴν δὴ τόν γε λίπῃ ψυχή τε καὶ αἰών,D,S,D,S,D,A,0.398755293
22597,odyssey,14,265,αὐτούς τ ἔκτεινον τάχα δ ἐς πόλιν ἵκετ ἀϋτή,S,S,D,D,D,A,0.398739872
24336,odyssey,17,434,αὐτούς τ ἔκτεινον τάχα δ ἐς πόλιν ἵκετ ἀϋτή,S,S,D,D,D,A,0.398739872
25384,odyssey,19,448,ἔσσυτ ἀνασχόμενος δολιχὸν δόρυ χειρὶ παχείῃ,D,D,D,D,D,A,0.398624845
7178,iliad,12,70,νωνύμνους ἀπολέσθαι ἀπ Ἄργεος ἐνθάδ Ἀχαιούς,S,D,D,D,D,A,0.398496148
7806,iliad,13,227,νωνύμνους ἀπολέσθαι ἀπ Ἄργεος ἐνθάδ Ἀχαιούς,S,D,D,D,D,A,0.398496148
8486,iliad,14,70,νωνύμνους ἀπολέσθαι ἀπ Ἄργεος ἐνθάδ Ἀχαιούς,S,D,D,D,D,A,0.398496148
1518,iliad,3,31,ἐν προμάχοισι φανέντα κατεπλήγη φίλον ἦτορ,D,D,D,S,D,A,0.398443444
16965,odyssey,3,406,ἐκ δ ἐλθὼν κατ ἄρ ἕζετ ἐπὶ ξεστοῖσι λίθοισιν,S,D,D,S,D,A,0.398425038
27002,odyssey,23,133,ἡμῖν ἡγείσθω φιλοπαίγμονος ὀρχηθμοῖο,S,S,D,D,S,A,0.398422019
7927,iliad,13,348,κυδαίνων Ἀχιλῆα πόδας ταχύν οὐδέ τι πάμπαν,S,D,D,D,D,A,0.398367088
18828,odyssey,7,101,ἕστασαν αἰθομένας δαΐδας μετὰ χερσὶν ἔχοντες,D,D,D,D,D,A,0.398338868
2261,iliad,4,313,‘ὦ γέρον εἴθ ὡς θυμὸς ἐνὶ στήθεσσι φίλοισιν,D,S,D,S,D,A,0.398279592
15421,iliad,24,544,ὅσσον Λέσβος ἄνω Μάκαρος ἕδος ἐντὸς ἐέργει,S,D,D,D,D,A,0.398269998
10159,iliad,16,476,τὼ δ αὖτις συνίτην ἔριδος πέρι θυμοβόροιο,S,D,D,D,D,A,0.398251515
10224,iliad,16,541,κεῖται Σαρπηδὼν Λυκίων ἀγὸς ἀσπιστάων,S,S,D,D,S,A,0.398248994
16049,odyssey,1,368,μητρὸς ἐμῆς μνηστῆρες ὑπέρβιον ὕβριν ἔχοντες,D,S,D,D,D,A,0.398201878
17377,odyssey,4,321,μητρὸς ἐμῆς μνηστῆρες ὑπέρβιον ὕβριν ἔχοντες,D,S,D,D,D,A,0.398201878
26449,odyssey,22,81,σμερδαλέα ἰάχων ὁ δ ἁμαρτῆ δῖος Ὀδυσσεὺς,D,D,D,S,D,A,0.398086559
22492,odyssey,14,160,ἦ μέν τοι τάδε πάντα τελείεται ὡς ἀγορεύω,S,D,D,D,D,A,0.397940165
25241,odyssey,19,305,ἦ μέν τοι τάδε πάντα τελείεται ὡς ἀγορεύω,S,D,D,D,D,A,0.397940165
27581,odyssey,24,341,συκέας τεσσαράκοντ ὄρχους δέ μοι ὧδ ὀνόμηνας,S,D,S,D,D,A,0.397805608
8342,iliad,13,763,χερσὶν ὑπ Ἀργείων κέατο ψυχὰς ὀλέσαντες,D,S,D,S,D,A,0.397775291
15045,iliad,24,168,χερσὶν ὑπ Ἀργείων κέατο ψυχὰς ὀλέσαντες,D,S,D,S,D,A,0.397775291
26411,odyssey,22,43,πάπτηνεν δὲ ἕκαστος ὅπη φύγοι αἰπὺν ὄλεθρον,S,D,D,D,D,A,0.397757463
20980,odyssey,11,181,‘καὶ λίην κείνη γε μένει τετληότι θυμῷ,S,S,D,S,D,A,0.397713252
23459,odyssey,16,37,‘καὶ λίην κείνη γε μένει τετληότι θυμῷ,S,S,D,S,D,A,0.397713252
1470,iliad,2,860,ἀλλ ἐδάμη ὑπὸ χερσὶ ποδώκεος Αἰακίδαο,D,D,D,D,D,A,0.39770057
1484,iliad,2,874,ἀλλ ἐδάμη ὑπὸ χερσὶ ποδώκεος Αἰακίδαο,D,D,D,D,D,A,0.39770057
13555,iliad,22,90,ὣς τώ γε κλαίοντε προσαυδήτην φίλον υἱὸν,S,S,D,S,D,A,0.39762639
13334,iliad,21,480,νείκεσεν ἰοχέαιραν ὀνειδείοις ἐπέεσσι,D,D,D,S,D,A,0.397597971
20134,odyssey,9,474,καὶ τότ ἐγὼ Κύκλωπα προσηύδων κερτομίοισι,D,S,D,S,D,A,0.397575098
20758,odyssey,10,532,δείραντας κατακῆαι ἐπεύξασθαι δὲ θεοῖσιν,S,D,D,S,D,A,0.397458934
