,word,corpus,iliad,odyssey
17321,φόρμιγγές,1,1,0
17322,ἱστάμεναι,1,1,0
17323,θαύμαζον,6,1,5
17324,προθύροισιν,1,1,0
17325,ὠρώρει,1,1,0
17326,ἐνείκεον,1,1,0
17327,ἀποφθιμένου,2,1,1
17328,μηδέν,1,1,0
17329,ἱέσθην,3,2,1
17330,ἴστορι,1,1,0
17331,ἐπήπυον,1,1,0
17332,ξεστοῖσι,4,1,3
17333,λίθοις,2,1,1
17334,κύκλῳ,2,1,1
17335,ἠεροφώνων,1,1,0
17336,ἤϊσσον,1,1,0
17337,ἀμοιβηδίς,2,1,1
17338,δίκαζον,1,1,0
17339,ἰθύντατα,1,1,0
17340,στρατοί,1,1,0
17341,λαμπόμενοι,1,1,0
17342,δίχα,9,3,6
17343,δάσασθαι,5,3,2
17344,ὅσην,3,2,1
17345,ἐπήρατον,4,2,2
17346,πείθοντο,2,1,1
17347,λόχῳ,1,1,0
17348,ὑπεθωρήσσοντο,1,1,0
17349,ἄλοχοί,1,1,0
17350,φίλαι,3,1,2
17351,ῥύατ,2,1,1
17352,χρυσείω,1,1,0
17353,ἕσθην,1,1,0
17354,καλώ,1,1,0
17355,μεγάλω,1,1,0
17356,θεώ,1,1,0
17357,ἀριζήλω,1,1,0
17358,ὑπολίζονες,1,1,0
17359,λοχῆσαι,1,1,0
17360,ἀρδμός,1,1,0
17361,βοτοῖσιν,1,1,0
17362,ἵζοντ,1,1,0
17363,εἰλυμένοι,2,1,1
17364,σκοποί,3,2,1
17365,δέγμενοι,1,1,0
17366,ἰδοίατο,3,1,2
17367,προγένοντο,1,1,0
17368,σύριγξι,1,1,0
17369,προνόησαν,1,1,0
17370,προϊδόντες,1,1,0
17371,τάμνοντ,1,1,0
17372,ἀργεννέων,1,1,0
17373,κτεῖνον,2,1,1
17374,μηλοβοτῆρας,1,1,0
17375,εἰράων,1,1,0
17376,ἀερσιπόδων,1,1,0
17377,στησάμενοι,4,1,3
17378,Κυδοιμός,1,1,0
17379,Κήρ,1,1,0
17380,νεούτατον,1,1,0
17381,ἄουτον,1,1,0
17382,εἷμα,1,1,0
17383,δαφοινεόν,1,1,0
17384,ὡμίλευν,1,1,0
17385,ζωοί,2,2,0
17386,κατατεθνηῶτας,2,1,1
17387,νειόν,2,1,1
17388,μαλακήν,1,1,0
17389,πίειραν,3,1,2
17390,τρίπολον,1,1,0
17391,ἀροτῆρες,1,1,0
17392,ζεύγεα,1,1,0
17393,δινεύοντες,1,1,0
17394,ἐλάστρεον,1,1,0
17395,στρέψαντες,1,1,0
17396,ἱκοίατο,2,1,1
17397,ἐπιών,1,1,0
17398,στρέψασκον,1,1,0
17399,ὄγμους,1,1,0
17400,μελαίνετ,1,1,0
17401,ἀρηρομένῃ,1,1,0
17402,χρυσείη,1,1,0
17403,βασιλήϊον,1,1,0
17404,ἔριθοι,1,1,0
17405,ἤμων,1,1,0
17406,ὀξείας,1,1,0
17407,δρεπάνας,1,1,0
17408,ἐπήτριμα,1,1,0
17409,ἀμαλλοδετῆρες,2,2,0
17410,ἐλλεδανοῖσι,1,1,0
17411,δέοντο,1,1,0
17412,δραγμεύοντες,1,1,0
17413,ἀγκαλίδεσσι,2,2,0
17414,πάρεχον,1,1,0
17415,ὄγμου,1,1,0
17416,δρυΐ,1,1,0
17417,ἱερεύσαντες,3,1,2
17418,ἄμφεπον,3,3,0
17419,ἐρίθοισιν,1,1,0
17420,πάλυνον,2,1,1
17421,σταφυλῇσι,2,1,1
17422,βρίθουσαν,1,1,0
17423,μέλανες,1,1,0
17424,βότρυες,1,1,0
17425,κάμαξι,1,1,0
17426,ἀργυρέῃσιν,1,1,0
17427,κυανέην,3,1,2
17428,κάπετον,2,2,0
17429,κασσιτέρου,2,2,0
17430,ἀταρπιτός,1,1,0
17431,φορῆες,1,1,0
17432,τρυγόῳεν,1,1,0
17433,παρθενικαί,2,1,1
17434,ἠΐθεοι,2,2,0
17435,ἀταλά,1,1,0
17436,πλεκτοῖς,2,1,1
17437,ταλάροισι,1,1,0
17438,ἱμερόεν,1,1,0
17439,κιθάριζε,1,1,0
17440,λίνον,2,1,1
17441,λεπταλέῃ,1,1,0
17442,ῥήσσοντες,1,1,0
17443,ἰυγμῷ,1,1,0
17444,σκαίροντες,1,1,0
17445,τετεύχατο,1,1,0
17446,μυκηθμῷ,1,1,0
17447,κόπρου,1,1,0
17448,κελάδοντα,1,1,0
17449,ῥοδανόν,1,1,0
17450,δονακῆα,1,1,0
17451,σμερδαλέω,1,1,0
17452,ἐρύγμηλον,1,1,0
17453,μεμυκώς,2,2,0
17454,ἀναρρήξαντε,1,1,0
17455,λαφύσσετον,1,1,0
17456,ἐνδίεσαν,1,1,0
17457,ἀπετρωπῶντο,1,1,0
17458,λεόντων,1,1,0
17459,ὑλάκτεον,1,1,0
17460,ἀλέοντο,1,1,0
17461,βήσσῃ,1,1,0
17462,κατηρεφέας,1,1,0
17463,σηκούς,2,1,1
17464,ποίκιλλε,1,1,0
17465,Κνωσῷ,1,1,0
17466,Δαίδαλος,1,1,0
17467,ἤσκησεν,1,1,0
17468,Ἀριάδνῃ,1,1,0
17469,παρθένοι,1,1,0
17470,ἀλφεσίβοιαι,1,1,0
17471,ὀρχεῦντ,1,1,0
17472,λεπτάς,1,1,0
17473,ὀθόνας,1,1,0
17474,ἐϋννήτους,1,1,0
17475,στίλβοντας,1,1,0
17476,στεφάνας,1,1,0
17477,μαχαίρας,1,1,0
17478,ἀργυρέων,1,1,0
17479,τελαμώνων,1,1,0
17480,θρέξασκον,2,2,0
17481,ἐπισταμένοισι,1,1,0
17482,ἄρμενον,3,1,2
17483,κεραμεύς,1,1,0
17484,πειρήσεται,3,1,2
17485,θέῃσιν,1,1,0
17486,περιίσταθ,1,1,0
17487,ὅμιλος,4,2,2
17488,κυβιστητῆρε,2,1,1
17489,ἐξάρχοντες,1,1,0
17490,ἐδίνευον,2,1,1
17491,πυμάτην,1,1,0
17492,ποιητοῖο,10,3,7
17493,τεῦξε,5,3,2
17494,φαεινότερον,1,1,0
17495,αὐγῆς,1,1,0
17496,δαιδαλέην,1,1,0
17497,ὅπλα,9,2,7
17498,νιφόεντος,1,1,0
17499,περικείμενον,1,1,0
17500,μύρονθ,1,1,0
17501,δαμάσθη,1,1,0
17502,δέξο,1,1,0
17503,φόρησεν,1,1,0
17504,ἀνέβραχε,1,1,0
17505,εἶδ,2,2,0
17506,ἐξεφάανθεν,1,1,0
17507,τέρπετο,2,2,0
17508,τετάρπετο,2,2,0
17509,καδδῦσαι,1,1,0
17510,χαλκοτύπους,1,1,0
17511,εὐλάς,1,1,0
17512,ἐγγείνωνται,1,1,0
17513,σαπήῃ,1,1,0
17514,πειρήσω,2,1,1
17515,ἀλαλκεῖν,1,1,0
17516,μυίας,1,1,0
17517,ἀρηϊφάτους,2,2,0
17518,κατέδουσιν,7,2,5
17519,κεῖταί,1,1,0
17520,τελεσφόρον,5,1,4
17521,ἐνιαυτόν,13,2,11
17522,καλέσας,4,1,3
17523,ἀποειπών,1,1,0
17524,θωρήσσεο,1,1,0
17525,ἐνῆκε,2,2,0
17526,στάξε,1,1,0
17527,ῥινῶν,1,1,0
17528,μένεσκον,1,1,0
17529,κυβερνῆται,1,1,0
17530,οἰήϊα,1,1,0
17531,ταμίαι,1,1,0
17532,σίτοιο,4,3,1
17533,δοτῆρες,1,1,0
17534,σκάζοντε,1,1,0
17535,ἐρειδομένω,1,1,0
17536,ἕλκεα,2,2,0
17537,κιόντες,5,2,3
17538,δεύτατος,2,1,1
17539,ἀολλίσθησαν,1,1,0
17540,νῶΐ,1,1,0
17541,ἀχνυμένω,3,3,0
17542,θυμοβόρῳ,1,1,0
17543,μενεήναμεν,2,1,1
17544,ἀσκελέως,1,1,0
17545,ἐθέλωσ,1,1,0
17546,ἰαύειν,1,1,0
17547,ἀπειπόντος,1,1,0
17548,αὐτόθεν,4,2,2
17549,ἕδρης,2,1,1
17550,ἑσταότος,1,1,0
17551,ὑββάλλειν,1,1,0
17552,ἐπισταμένῳ,3,1,2
17553,πολλῷ,6,2,4
17554,βλάβεται,3,2,1
17555,ἐνδείξομαι,1,1,0
17556,σύνθεσθ,1,1,0
17557,μῦθόν,1,1,0
17558,γνῶτε,1,1,0
17559,νεικείεσκον,1,1,0
17560,Μοῖρα,3,3,0
17561,ῥέξαιμι,1,1,0
17562,Ἄτη,1,1,0
17563,ἀᾶται,2,2,0
17564,οὐλομένη,1,1,0
17565,ἁπαλοί,1,1,0
17566,πίλναται,1,1,0
17567,κράατα,1,1,0
17568,ἄσατο,1,1,0
17569,φασ,3,3,0
17570,θῆλυς,4,2,2
17571,δολοφροσύνῃς,1,1,0
17572,ἀπάτησεν,1,1,0
17573,Ἀλκμήνη,2,1,1
17574,τέξεσθαι,1,1,0
17575,ἐϋστεφάνῳ,1,1,0
17576,ἐκφανεῖ,1,1,0
17577,ἀνάξει,3,3,0
17578,ψευστήσεις,1,1,0
17579,ἐπιθήσεις,1,1,0
17580,ἀνάξειν,2,2,0
17581,πέσῃ,1,1,0
17582,αἵματός,2,1,1
17583,γενέθλης,3,1,2
17584,δολοφροσύνην,1,1,0
17585,ὄμοσεν,1,1,0
17586,Ἀχαιικόν,1,1,0
17587,ἰφθίμην,2,1,1
17588,Σθενέλου,1,1,0
17589,Περσηϊάδαο,2,2,0
17590,ἐκύει,1,1,0
17591,ἕβδομος,1,1,0
17592,μείς,1,1,0
17593,ἠλιτόμηνον,1,1,0
17594,Εἰλειθυίας,1,1,0
17595,ἀργικέραυνε,3,3,0
17596,γέγον,1,1,0
17597,Εὐρυσθεύς,1,1,0
17598,Σθενέλοιο,1,1,0
17599,εἷλ,1,1,0
17600,Ἄτην,2,2,0
17601,λιπαροπλοκάμοιο,1,1,0
17602,ὤμοσε,2,1,1
17603,ἔρριψεν,2,1,1
17604,περιστρέψας,2,1,1
17605,στενάχεσχ,1,1,0
17606,ὁρῷτο,2,1,1
17607,ὀλέκεσκεν,1,1,0
17608,δυνάμην,2,1,1
17609,λελαθέσθ,1,1,0
17610,Ἄτης,1,1,0
17611,ἀάσθην,1,1,0
17612,παρασχέμεν,2,2,0
17613,ἐπειγόμενός,4,2,2
17614,οἴσουσ,1,1,0
17615,κλοτοπεύειν,1,1,0
17616,ἄρεκτον,1,1,0
17617,νήστιας,2,2,0
17618,μαχησομένους,1,1,0
17619,ὁμιλήσωσι,1,1,0
17620,πνεύσῃ,1,1,0
17621,ἄκμηνος,2,2,0
17622,δυνήσεται,5,1,4
17623,μενοινάᾳ,1,1,0
17624,βαρύνεται,1,1,0
17625,δίψά,1,1,0
17626,λιμός,5,3,2
17627,κορεσσάμενος,2,1,1
17628,ἐδωδῆς,4,2,2
17629,πολεμίζῃ,1,1,0
17630,κάμνει,1,1,0
17631,σκέδασον,3,2,1
17632,ὅπλεσθαι,2,2,0
17633,οἰσέτω,2,1,1
17634,ἴδωσι,1,1,0
17635,ἰανθῇς,1,1,0
17636,ὀμνυέτω,1,1,0
17637,δαιτί,11,2,9
17638,ἀρεσάσθω,1,1,0
17639,πιείρῃ,1,1,0
17640,δίκης,1,1,0
17641,ἐπιδευές,1,1,0
17642,ἔχῃσθα,1,1,0
17643,δικαιότερος,1,1,0
17644,ἀπαρέσσασθαι,1,1,0
17645,διίκεο,1,1,0
17646,ὀμόσαι,1,1,0
17647,ἐπιορκήσω,1,1,0
17648,δαίμονος,3,1,2
17649,τεῖος,2,2,0
17650,ἔλθῃσι,3,1,2
17651,κούρητας,1,1,0
17652,ἐνεικέμεν,1,1,0
17653,Ταλθύβιος,3,3,0
17654,κάπρον,4,2,2
17655,ἑτοιμασάτω,1,1,0
17656,ἄλλοτέ,1,1,0
17657,ὀφέλλετε,1,1,0
17658,πένεσθαι,8,1,7
17659,μεταπαυσωλή,1,1,0
17660,ᾖσιν,2,1,1
17661,δεδαϊγμένοι,1,1,0
17662,βρωτύν,2,1,1
17663,ἀνώγοιμι,1,1,0
17664,ἀκμήνους,1,1,0
17665,τεισαίμεθα,1,1,0
17666,ἰείη,1,1,0
17667,βρῶσις,1,1,0
17668,δεδαϊγμένος,2,2,0
17669,πρόθυρον,3,1,2
17670,μύρονται,1,1,0
17671,νοήματί,1,1,0
17672,προβαλοίμην,1,1,0
17673,ἐπιτλήτω,2,2,0
17674,πλείστην,1,1,0
17675,καλάμην,2,1,1
17676,ἄμητος,1,1,0
17677,ὀλίγιστος,1,1,0
17678,κλίνῃσι,1,1,0
17679,πενθῆσαι,1,1,0
17680,πότε,1,1,0
17681,ἀναπνεύσειε,1,1,0
17682,καταθάπτειν,1,1,0
17683,θάνῃσι,2,1,1
17684,νηλέα,1,1,0
17685,δακρύσαντας,1,1,0
17686,στυγεροῖο,2,1,1
17687,λίπωνται,2,1,1
17688,μεμνῆσθαι,3,1,2
17689,μαχώμεθα,3,3,0
17690,ὀτρυντύν,1,1,0
17691,ἰσχαναάσθω,1,1,0
17692,ὀτρυντύς,1,1,0
17693,λίπηται,2,1,1
17694,ὁρμηθέντες,2,1,1
17695,ὀπάσσατο,1,1,0
17696,Φυλεΐδην,1,1,0
17697,Μέγητα,1,1,0
17698,Κρειοντιάδην,1,1,0
17699,ὀγδοάτην,1,1,0
17700,στήσας,4,2,2
17701,κούρητες,1,1,0
17702,ἀρξάμενος,1,1,0
17703,ἀκούοντες,4,2,2
17704,ὕπατος,3,2,1
17705,Γῆ,1,1,0
17706,τίνυνται,1,1,0
17707,Βρισηΐδι,1,1,0
17708,ἐπένεικα,1,1,0
17709,πρόφασιν,2,2,0
17710,κεχρημένος,5,1,4
17711,ἀπροτίμαστος,1,1,0
17712,ἐμῇσιν,2,2,0
17713,τῶνδ,6,4,2
17714,ὅτίς,1,1,0
17715,ἀλίτηται,2,2,0
17716,ὀμόσσας,1,1,0
17717,στόμαχον,1,1,0
17718,λαῖτμα,9,1,8
17719,βόσιν,1,1,0
17720,ἰχθύσιν,2,2,0
17721,ἀνστάς,3,1,2
17722,διδοῖσθα,1,1,0
17723,ὤρινε,1,1,0
17724,ἤθελ,5,1,4
17725,λῦσεν,3,1,2
17726,αἰψηρήν,2,1,1
17727,κάθισαν,2,1,1
17728,ἔλασαν,4,1,3
17729,Βρισηΐς,2,2,0
17730,χρυσέῃ,8,2,6
17731,χυμένη,2,1,1
17732,λίγ,3,1,2
17733,ἐκώκυε,1,1,0
17734,ἄμυσσε,1,1,0
17735,Πάτροκλέ,1,1,0
17736,δειλῇ,2,1,1
17737,ἔλειπον,3,2,1
17738,κιχάνομαι,1,1,0
17739,ἀνιοῦσ,1,1,0
17740,δέχεται,1,1,0
17741,ἔδοσάν,2,1,1
17742,κηδείους,1,1,0
17743,ὀλέθριον,2,2,0
17744,ἐπέσπον,8,1,7
17745,ἔασκες,1,1,0
17746,Μύνητος,1,1,0
17747,ἔφασκες,1,1,0
17748,δαίσειν,1,1,0
17749,γάμον,19,1,18
17750,κλαίω,2,2,0
17751,μείλιχον,2,1,1
17752,κλαίουσ,6,5,1
17753,δειπνῆσαι,1,1,0
17754,ἠρνεῖτο,3,2,1
17755,στεναχίζων,5,3,2
17756,ἐπιπείθεθ,1,1,0
17757,ἄσασθαι,1,1,0
17758,δύντα,1,1,0
17759,ἀπεσκέδασεν,1,1,0
17760,τέρποντες,1,1,0
17761,μνησάμενος,2,2,0
17762,ἁδινῶς,1,1,0
17763,ἀνενείκατο,1,1,0
17764,δυσάμμορε,1,1,0
17765,σπερχοίατ,2,1,1
17766,κεῖσαι,3,3,0
17767,ἄκμηνον,1,1,0
17768,ποθῇ,1,1,0
17769,κακώτερον,3,1,2
17770,πάθοιμι,2,2,0
17771,Φθίηφι,1,1,0
17772,εἴβει,1,1,0
17773,ἀλλοδαπῷ,3,1,2
17774,ῥιγεδανῆς,1,1,0
17775,πολεμίζω,1,1,0
17776,Σκύρῳ,1,1,0
17777,Νεοπτόλεμος,1,1,0
17778,ἐώλπει,4,1,3
17779,φθίσεσθαι,2,1,1
17780,Σκυρόθεν,1,1,0
17781,ἐξαγάγοις,1,1,0
17782,δείξειας,1,1,0
17783,δμῶάς,3,1,2
17784,Πηλῆά,1,1,0
17785,ζώοντ,1,1,0
17786,ἀκάχησθαι,2,1,1
17787,γήραΐ,1,1,0
17788,ποτιδέγμενον,1,1,0
17789,λυγρήν,2,1,1
17790,πύθηται,3,1,2
17791,κλαίων,5,3,2
17792,μνησάμενοι,2,1,1
17793,μυρομένους,1,1,0
17794,ἀποίχεαι,1,1,0
17795,μέμβλετ,1,1,0
17796,ἧσται,7,1,6
17797,ἄπαστος,3,1,2
17798,νέκτάρ,1,1,0
17799,στάξον,1,1,0
17800,στήθεσσ,1,1,0
17801,ἅρπῃ,1,1,0
17802,τανυπτέρυγι,1,1,0
17803,λιγυφώνῳ,1,1,0
17804,ἐκκατεπᾶλτο,1,1,0
17805,στάξ,1,1,0
17806,ἀτερπής,1,1,0
17807,ταρφειαί,2,2,0
17808,ἐκποτέονται,1,1,0
17809,ψυχραί,1,1,0
17810,γανόωσαι,2,1,1
17811,ἐκφορέοντο,1,1,0
17812,θώρηκές,1,1,0
17813,κραταιγύαλοι,1,1,0
17814,γέλασσε,3,2,1
17815,στεροπῆς,3,1,2
17816,μέσοισι,2,2,0
17817,καναχή,2,1,1
17818,πέλε,1,1,0
17819,ἄτλητον,1,1,0
17820,μήνης,1,1,0
17821,φανήῃ,5,3,2
17822,καίεται,2,2,0
17823,ἐθέλοντας,1,1,0
17824,φέρουσιν,4,1,3
17825,ἵππουρις,1,1,0
17826,περισσείοντο,2,2,0
17827,χρύσεαι,2,2,0
17828,πειρήθη,1,1,0
17829,ἐφαρμόσσειε,1,1,0
17830,ἐντρέχοι,1,1,0
17831,σύριγγος,1,1,0
17832,Ἄλκιμος,3,3,0
17833,ζεύγνυον,1,1,0
17834,λέπαδν,1,1,0
17835,ἕσαν,1,1,0
17836,χαλινούς,1,1,0
17837,γαμφηλῇς,1,1,0
17838,τεῖναν,1,1,0
17839,κορυσσάμενος,1,1,0
17840,Ὑπερίων,1,1,0
17841,Βαλίε,1,1,0
17842,τηλεκλυτά,1,1,0
17843,Ποδάργης,1,1,0
17844,ἕωμεν,1,1,0
17845,ζυγόφι,1,1,0
17846,αἰόλος,2,1,1
17847,Ξάνθος,2,2,0
17848,καρήατι,2,2,0
17849,αὐδήεντα,1,1,0
17850,ὄβριμ,1,1,0
17851,αἴτιοι,2,1,1
17852,ἡμετέρῃ,4,1,3
17853,βραδυτῆτί,1,1,0
17854,νωχελίῃ,1,1,0
17855,θέοιμεν,1,1,0
17856,ἐλαφροτάτην,1,1,0
17857,φάσ,4,1,3
17858,μόρσιμόν,1,1,0
17859,φωνήσαντος,2,2,0
17860,Ξάνθε,1,1,0
17861,μητέρος,7,2,5
17862,πρώτοις,1,1,0
17863,ἀκόρητον,1,1,0
17864,Θέμιστα,1,1,0
17865,φοιτήσασα,1,1,0
17866,νόσφ,1,1,0
17867,νυμφάων,6,2,4
17868,ἄλσεα,2,1,1
17869,πηγάς,3,2,1
17870,πίσεα,2,1,1
17871,ποιήεντα,4,1,3
17872,αἰθούσῃσιν,1,1,0
17873,ἐνίζανον,1,1,0
17874,ἀγηγέρατ,1,1,0
17875,νηκούστησε,1,1,0
17876,κάλεσσας,1,1,0
17877,μερμηρίζεις,1,1,0
17878,ἔγνως,4,2,2
17879,ἐννοσίγαιε,1,1,0
17880,ξυνάγειρα,1,1,0
17881,μέλουσί,1,1,0
17882,ὀλλύμενοί,1,1,0
17883,πτυχί,1,1,0
17884,τέρψομαι,2,1,1
17885,ἵκησθε,1,1,0
17886,ἀρήγεθ,1,1,0
17887,μαχεῖται,1,1,0
17888,μίνυνθ,1,1,0
17889,ἕξουσι,1,1,0
17890,ὑποτρομέεσκον,1,1,0
17891,ὁρῶντες,1,1,0
17892,χώεται,1,1,0
17893,ὑπέρμορον,1,1,0
17894,ἐξαλαπάξῃ,1,1,0
17895,ἴμεναι,12,2,10
17896,ἐριούνης,2,1,1
17897,κέκασται,1,1,0
17898,ἀκερσεκόμης,1,1,0
17899,Ξάνθός,1,1,0
17900,κύδανον,1,1,0
17901,δειδιότας,1,1,0
17902,ὁρῶντο,3,2,1
17903,λαμπόμενον,1,1,0
17904,ἀκτάων,1,1,0
17905,ἐριδούπων,2,1,1
17906,Σιμόεντι,2,2,0
17907,Καλλικολώνῃ,1,1,0
17908,βρόντησε,3,1,2
17909,ἀπειρεσίην,2,1,1
17910,ἐσσείοντο,1,1,0
17911,κορυφαί,1,1,0
17912,ἐνέρων,1,1,0
17913,Ἀϊδωνεύς,1,1,0
17914,ἀναρρήξειε,1,1,0
17915,φανείη,2,1,1
17916,σμερδαλέ,1,1,0
17917,εὐρώεντα,4,1,3
17918,ξυνιόντων,1,1,0
17919,ἔναντα,1,1,0
17920,ἰά,1,1,0
17921,ἀντέστη,2,2,0
17922,χρυσηλάκατος,1,1,0
17923,κελαδεινή,2,2,0
17924,Λητοῖ,3,3,0
17925,σῶκος,1,1,0
17926,ἐριούνιος,4,4,0
17927,Ἑρμῆς,3,1,2
17928,βαθυδίνης,5,5,0
17929,λιλαίετο,1,1,0
17930,Πριαμίδεω,1,1,0
17931,ἀντία,8,6,2
17932,Λυκάονι,2,2,0
17933,ὑπίσχεο,1,1,0
17934,οἰνοποτάζων,2,1,1
17935,πολεμίξειν,1,1,0
17936,φόβησεν,1,1,0
17937,ἐπήλυθεν,2,1,1
17938,πέρσε,1,1,0
17939,εἰρύσαθ,1,1,0
17940,ἐδάμην,1,1,0
17941,Λέλεγας,1,1,0
17942,διελθέμεν,3,2,1
17943,τείνειεν,1,1,0
17944,νικήσει,1,1,0
17945,παγχάλκεος,1,1,0
17946,χερείονος,1,1,0
17947,λευγαλέοις,1,1,0
17948,ἀποτρεπέτω,2,2,0
17949,φράζεσθον,1,1,0
17950,ὑμετέρῃσιν,1,1,0
17951,ἀποτρωπῶμεν,1,1,0
17952,παρσταίη,1,1,0
17953,δευέσθω,1,1,0
17954,φιλέουσιν,2,1,1
17955,ἀνεμώλιοι,1,1,0
17956,ἀμύνουσιν,2,2,0
17957,κατήλθομεν,3,1,2
17958,ἀντιόωντες,1,1,0
17959,γιγνομένῳ,3,2,1
17960,ἐπένησε,2,2,0
17961,πεύσεται,2,1,1
17962,ὀμφῆς,1,1,0
17963,δείσετ,1,1,0
17964,φαίνεσθαι,1,1,0
17965,ἐναργεῖς,3,1,2
17966,ξυνελάσσαι,1,1,0
17967,καθεζώμεσθα,2,1,1
17968,πάτου,1,1,0
17969,σκοπιήν,6,2,4
17970,ἄρχωσι,1,1,0
17971,Ἀχιλῆ,2,2,0
17972,ἴσχωσι,1,1,0
17973,ὀρεῖται,1,1,0
17974,διακρινθέντας,1,1,0
17975,ὁμήγυριν,1,1,0
17976,ἀναγκαίηφι,1,1,0
17977,κυανοχαίτης,2,1,1
17978,ἀμφίχυτον,1,1,0
17979,ὑψηλόν,4,2,2
17980,κῆτος,3,1,2
17981,ὑπεκπροφυγών,2,2,0
17982,ἀλέαιτο,2,1,1
17983,ἕσαντο,1,1,0
17984,καθῖζον,16,1,15
17985,Καλλικολώνης,1,1,0
17986,ἑκάτερθε,10,1,9
17987,μητιόωντες,2,1,1
17988,ἀρχέμεναι,1,1,0
17989,δυσηλεγέος,1,1,0
17990,ὄκνεον,1,1,0
17991,ἅπαν,7,3,4
17992,ἐπλήσθη,1,1,0
17993,κάρκαιρε,1,1,0
17994,ὀρνυμένων,1,1,0
17995,νευστάζων,4,1,3
17996,τίνασσε,1,1,0
17997,σίντης,1,1,0
17998,ἀποκτάμεναι,1,1,0
17999,δῆμος,7,2,5
18000,ἀτίζων,1,1,0
18001,βάλῃ,6,3,3
18002,ἀφρός,1,1,0
18003,στένει,1,1,0
18004,οὐρῇ,2,1,1
18005,πλευράς,3,3,0
18006,μαστίεται,1,1,0
18007,ἑέ,2,2,0
18008,γλαυκιόων,1,1,0
18009,φέρεται,1,1,0
18010,πέφνῃ,3,1,2
18011,φθίεται,1,1,0
18012,ἔστης,1,1,0
18013,ἐλπόμενον,1,1,0
18014,ἐξεναρίξῃς,1,1,0
18015,θήσει,2,1,1
18016,ἀεσίφρων,2,2,0
18017,νέμηαι,2,1,1
18018,κτείνῃς,3,1,2
18019,ἔολπα,6,2,4
18020,φοβῆσαι,1,1,0
18021,σεῦα,1,1,0
18022,μετατροπαλίζεο,1,1,0
18023,ὑπέκφυγες,1,1,0
18024,πέρσα,1,1,0
18025,μεθορμηθείς,2,1,1
18026,ληϊάδας,1,1,0
18027,ἀπαμείβετο,12,1,11
18028,ἐπέεσσί,3,3,0
18029,νηπύτιον,2,2,0
18030,ἔλπεο,2,2,0
18031,δειδίξεσθαι,2,2,0
18032,κερτομίας,3,2,1
18033,πρόκλυτ,1,1,0
18034,ὄψει,3,1,2
18035,ἴδες,3,2,1
18036,ἔκγονον,1,1,0
18037,καλλιπλοκάμου,1,1,0
18038,ἁλοσύδνης,2,1,1
18039,ἕτεροί,1,1,0
18040,φημ,1,1,0
18041,νηπυτίοισιν,1,1,0
18042,ἴσασι,11,1,10
18043,Δάρδανον,2,2,0
18044,κτίσσε,1,1,0
18045,Δαρδανίην,1,1,0
18046,πεπόλιστο,1,1,0
18047,ὑπωρείας,1,1,0
18048,ᾤκεον,2,1,1
18049,Ἐριχθόνιον,1,1,0
18050,ἀφνειότατος,1,1,0
18051,τρισχίλιαι,1,1,0
18052,ἕλος,2,1,1
18053,βουκολέοντο,1,1,0
18054,θήλειαι,5,1,4
18055,πώλοισιν,1,1,0
18056,ἀγαλλόμεναι,2,1,1
18057,ἀταλῇσι,1,1,0
18058,ἠράσσατο,1,1,0
18059,κυανοχαίτῃ,2,1,1
18060,ὑποκυσάμεναι,1,1,0
18061,ἔτεκον,1,1,0
18062,πώλους,1,1,0
18063,σκιρτῷεν,2,2,0
18064,ἀνθερίκων,1,1,0
18065,κατέκλων,1,1,0
18066,ῥηγμῖνος,1,1,0
18067,θέεσκον,1,1,0
18068,Τρῶα,2,2,0
18069,Ἐριχθόνιος,1,1,0
18070,Τρωός,1,1,0
18071,Ἶλός,1,1,0
18072,Ἀσσάρακός,1,1,0
18073,Γανυμήδης,1,1,0
18074,ἀνηρείψαντο,5,1,4
18075,κάλλεος,2,1,1
18076,Ἶλος,1,1,0
18077,Λαομέδοντα,1,1,0
18078,Λαομέδων,2,2,0
18079,Τιθωνόν,1,1,0
18080,Ἀσσάρακος,1,1,0
18081,Κάπυν,1,1,0
18082,Ἀγχίσην,1,1,0
18083,ἑκατόζυγος,1,1,0
18084,στρεπτή,1,1,0
18085,γλῶσσ,1,1,0
18086,παντοῖοι,2,1,1
18087,νομός,1,1,0
18088,ὁπποῖόν,1,1,0
18089,εἴπῃσθα,3,1,2
18090,ἐπακούσαις,1,1,0
18091,νεικεῖν,1,1,0
18092,νεικεῦσ,1,1,0
18093,ἄγυιαν,1,1,0
18094,ἰοῦσαι,2,1,1
18095,ἐτεά,1,1,0
18096,γευσόμεθ,1,1,0
18097,δεινῷ,1,1,0
18098,μύκε,1,1,0
18099,ῥηΐδι,1,1,0
18100,ὑποείκειν,1,1,0
18101,χαλκείας,1,1,0
18102,ἄντυγ,1,1,0
18103,λεπτότατος,1,1,0
18104,λεπτοτάτη,1,1,0
18105,ἐπέην,1,1,0
18106,Πηλιάς,1,1,0
18107,κύκλους,1,1,0
18108,πειθόμενος,1,1,0
18109,χραισμήσει,1,1,0
18110,ἀναίτιος,1,1,0
18111,πάσχει,2,1,1
18112,ἀλλοτρίων,3,1,2
18113,κεχαρισμένα,5,2,3
18114,ἀγάγωμεν,1,1,0
18115,κατακτείνῃ,2,1,1
18116,μόριμον,1,1,0
18117,ἄσπερμος,1,1,0
