,word,corpus,iliad,odyssey
360,ἡμῖν,69,26,43
361,ἀπό,318,225,93
362,λοιγόν,20,20,0
363,ἀμῦναι,9,7,2
364,ἤτοι,105,105,0
365,εἰπών,118,77,41
366,ἕζετο,32,18,14
367,ἀνέστη,21,11,10
368,Κάλχας,4,4,0
369,Θεστορίδης,1,1,0
370,οἰωνοπόλων,2,2,0
371,ὄχ,20,11,9
372,ἄριστος,42,24,18
373,ᾔδη,20,11,9
374,ἐόντα,99,54,45
375,ἐσσόμενα,1,1,0
376,πρό,74,63,11
377,νήεσσ,2,1,1
378,ἡγήσατ,3,3,0
379,Ἴλιον,85,69,16
380,εἴσω,52,30,22
381,ἥν,101,49,52
382,διά,168,116,52
383,μαντοσύνην,1,1,0
384,οἱ,1130,497,633
385,πόρε,24,13,11
386,σφιν,103,53,50
387,ἐύ,29,4,25
388,φρονέων,36,25,11
389,ἀγορήσατο,24,9,15
390,μετέειπεν,21,12,9
391,ὦ,179,77,102
392,Ἀχιλεῦ,13,12,1
393,κέλεαί,1,1,0
394,με,293,146,147
395,Διΐ,17,17,0
396,φίλε,20,11,9
397,μυθήσασθαι,18,9,9
398,ἑκατηβελέταο,1,1,0
399,ἄνακτος,71,38,33
400,τοί,171,82,89
401,ἐγών,150,59,91
402,ἐρέω,64,25,39
403,σύ,373,209,164
404,σύνθεο,9,2,7
405,ὄμοσσον,4,4,0
406,ἦ,616,292,324
407,πρόφρων,23,11,12
408,ἔπεσιν,6,5,1
409,ἀρήξειν,2,2,0
410,ὀΐομαι,20,9,11
411,ἄνδρα,83,51,32
412,χολωσέμεν,1,1,0
413,μέγα,306,196,110
414,πάντων,100,51,49
415,Ἀργείων,70,57,13
416,κρατέει,4,4,0
417,πείθονται,1,1,0
418,κρείσσων,14,10,4
419,βασιλεύς,14,7,7
420,ὅτε,390,232,158
421,χώσεται,1,1,0
422,ἀνδρί,44,22,22
423,χέρηϊ,1,1,0
424,περ,494,303,191
425,χόλον,24,19,5
426,αὐτῆμαρ,3,2,1
427,καταπέψῃ,1,1,0
428,μετόπισθεν,6,4,2
429,ἔχει,50,22,28
430,κότον,6,4,2
431,ὄφρα,197,94,103
432,τελέσσῃ,3,1,2
433,στήθεσσιν,56,40,16
434,ἑοῖσι,2,1,1
435,φράσαι,4,1,3
436,σαώσεις,1,1,0
437,ἀπαμειβόμενος,110,39,71
438,προσέφη,213,117,96
439,θαρσήσας,4,2,2
440,μάλα,330,175,155
441,εἰπέ,44,9,35
442,θεοπρόπιον,1,1,0
443,οἶσθα,14,8,6
444,μά,4,3,1
445,φίλον,193,101,92
446,ᾧ,92,46,46
447,Κάλχαν,1,1,0
448,Δαναοῖσι,39,38,1
449,θεοπροπίας,2,2,0
450,ἀναφαίνεις,1,1,0
451,οὔ,475,260,215
452,τις,490,239,251
453,ἐμεῦ,26,16,10
454,ζῶντος,1,1,0
455,χθονί,34,22,12
456,δερκομένοιο,2,1,1
457,σοί,167,101,66
458,κοίλῃς,11,7,4
459,βαρείας,2,2,0
460,χεῖρας,117,61,56
461,ἐποίσει,2,1,1
462,συμπάντων,2,2,0
463,οὐδ,482,307,175
464,ἤν,31,17,14
465,Ἀγαμέμνονα,17,16,1
466,εἴπῃς,4,2,2
467,πολλόν,58,36,22
468,εὔχεται,17,8,9
469,εἶναι,137,61,76
470,τότε,170,75,95
471,θάρσησε,1,1,0
472,ηὔδα,88,32,56
473,μάντις,8,2,6
474,ἀμύμων,19,10,9
475,ἕνεκ,19,9,10
476,ἀρητῆρος,1,1,0
477,ὅν,214,134,80
478,ἠτίμησ,1,1,0
479,Ἀγαμέμνων,101,98,3
480,ἀπέλυσε,3,2,1
481,ἀπεδέξατ,1,1,0
482,τοὔνεκ,6,2,4
483,ἔδωκεν,26,13,13
484,ἑκηβόλος,2,2,0
485,ἔτι,220,116,104
486,δώσει,15,7,8
487,Δαναοῖσιν,16,14,2
488,ἀεικέα,32,13,19
489,ἀπώσει,1,1,0
490,πατρί,62,41,21
491,φίλῳ,29,19,10
492,δόμεναι,23,14,9
493,ἑλικώπιδα,1,1,0
494,κούρην,21,12,9
495,ἀπριάτην,2,1,1
496,ἀνάποινον,1,1,0
497,ἄγειν,11,7,4
498,ἱερήν,8,7,1
499,ἑκατόμβην,13,12,1
500,ἐς,574,264,310
501,ἱλασσάμενοι,1,1,0
502,πεπίθοιμεν,1,1,0
503,ἥρως,50,30,20
504,εὐρύ,39,27,12
505,κρείων,55,51,4
506,ἀχνύμενος,7,3,4
507,μένεος,8,7,1
508,φρένες,22,12,10
509,ἀμφιμέλαιναι,2,1,1
510,πίμπλαντ,2,1,1
511,ὄσσε,57,44,13
512,πυρί,56,39,17
513,λαμπετόωντι,2,1,1
514,ἐΐκτην,3,3,0
515,Κάλχαντα,1,1,0
516,πρώτιστα,10,4,6
517,κάκ,27,13,14
518,ὀσσόμενος,2,1,1
519,προσέειπε,128,53,75
520,μάντι,1,1,0
521,κακῶν,19,7,12
522,πώ,42,24,18
523,κρήγυον,1,1,0
524,εἶπας,3,2,1
525,ἐστί,93,43,50
526,φίλα,34,16,18
527,μαντεύεσθαι,3,1,2
528,ἐσθλόν,59,31,28
529,οὔτέ,31,31,0
530,τί,219,123,96
531,πω,82,40,42
532,ἔπος,158,72,86
533,οὔτ,134,62,72
534,ἐτέλεσσας,2,2,0
535,θεοπροπέων,3,2,1
536,ἀγορεύεις,36,15,21
537,ὡς,539,308,231
538,τοῦδ,8,2,6
539,ἕνεκά,1,1,0
540,ἄλγεα,44,15,29
541,τεύχει,1,1,0
542,οὕνεκ,26,20,6
543,κούρης,13,9,4
544,Χρυσηΐδος,1,1,0
545,ἀγλά,2,2,0
546,ἔθελον,9,5,4
547,δέξασθαι,1,1,0
548,πολύ,107,67,40
549,βούλομαι,3,2,1
550,αὐτήν,37,16,21
551,οἴκοι,7,2,5
552,ἔχειν,9,3,6
553,Κλυταιμνήστρης,1,1,0
554,προβέβουλα,1,1,0
555,κουριδίης,3,2,1
556,ἀλόχου,8,2,6
557,ἑθέν,1,1,0
558,ἐστι,53,34,19
559,χερείων,3,1,2
560,δέμας,42,13,29
561,οὐδέ,621,344,277
562,φυήν,10,4,6
563,φρένας,61,38,23
564,ἔργα,127,59,68
565,ὧς,29,28,1
566,ἐθέλω,22,10,12
567,πάλιν,57,39,18
568,ἄμεινον,11,6,5
569,βούλομ,3,1,2
570,σῶν,7,5,2
571,ἔμμεναι,81,40,41
572,ἀπολέσθαι,17,13,4
573,γέρας,39,29,10
574,αὐτίχ,3,1,2
575,ἑτοιμάσατ,1,1,0
576,οἶος,66,44,22
577,ἀγέραστος,1,1,0
578,ἔω,2,1,1
579,ἔοικε,23,9,14
580,λεύσσετε,1,1,0
581,ἔρχεται,12,7,5
582,ἄλλῃ,19,7,12
583,ἠμείβετ,72,48,24
584,ἔπειτα,349,186,163
585,ποδάρκης,21,21,0
586,κύδιστε,18,16,2
587,φιλοκτεανώτατε,1,1,0
588,πῶς,43,21,22
589,δώσουσι,4,4,0
590,μεγάθυμοι,9,8,1
591,που,120,50,70
592,ἴδμεν,23,13,10
